번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"172","수상한 보건실","소메야 가코 글;히즈기 그림;김소연 옮김","책읽는곰","2022","9791158363888","","0","1","833.8","1","2","2023-03-10",
"173","(설민석의) 한국사 대모험","설민석,스토리박스 [공]글;정현희 그림;강석화","Dankkum i(단꿈아이)","2022","9791191496642","9791191496192","7","23","911","1","3","2023-03-10",
"174","(설민석의) 세계사 대모험","설민석,김정욱 [공]글;박성일 그림","단꿈아이","2022","9791191496888","","7","15","909","1","2","2023-03-10",
"175","설민석의 삼국지 대모험","단꿈아이 글;스튜디오 담 만화","Dankkum i(단꿈아이)","2022","9791191496635","9791197226182","7","9","823.5","1","2","2023-03-10",
"176","설민석의 삼국지 대모험","나관중 원작;단꿈아이 글;스튜디오 담 만화","단꿈아이","2022","9791191496659","","7","10","823.5","1","2","2023-03-10",
"177","(설민석의) 만만 한국사","설민석,신지희 [공]글;김덕영 그림","미래엔","2020","9791164137206","9791164135936","7","2","911","1","1","2023-03-10",
"178","비밀 교실","소연 글;유준재 그림","잇츠북어린이","2022","9791192182186","9791187903420","7","3","813.8","1","2","2023-03-10",
"179","비밀 교실","소연 글;유준재 그림","잇츠북어린이","2021","9791187903505","9791187903420","7","2","813.8","1","2","2023-03-10",
"180","벌거벗은 세계사","김우람 글;최호정 그림","북이십일","2022","9788950900854","9788950900823","7","3","909","1","2","2023-03-10",
"181","백제 최후의 날","박상기 글;송효정 그림","비룡소","2022","9788949121987","","7","105","808.9","1","1","2023-03-10",
"182","배드 가이즈","애런 블레이비 지음;신수진 옮김","비룡소","2022","9788949144122","9788949144009","7","12","843.6","1","1","2023-03-10",
"183","미래가 온다, 대멸종","김성화,권수진 [공]글;이철민 그림","와이즈만 Books","2019","9791190744560","","7","20","508","1","2","2023-03-10",
"184","(손오공의 한자 대탐험) 마법천자문","유대영 글;정수영 그림","아울북","2022","9788950942694","","7","56","711.47","1","3","2023-03-10",
"185","(손오공의 한자 대탐험) 마법천자문","유대영 글;박상영,정수영 [공]그림","아울북","2022","9788950942274","9788950995898","7","55","711.47","1","3","2023-03-10",
"186","물 요정의 숲","히로시마 레이코 글;해랑 그림;김정화 옮김","길벗스쿨","2022","9791164064878","","7","","833.8","1","1","2023-03-10",
"187","문해력이 자라는 아이들","전병규 글;이예숙 그림","한경BP","2022","9788947548595","","0","","813.8","1","1","2023-03-10",
"188","명탐정 닭다리 탐정","정인아 글;정예림 그림","모든북스","2022","9791197244070","","7","3","813.8","1","1","2023-03-10",
"189","말이야와 친구들","말이야와 친구들 원작;김정욱 글;이혜림 그림;샌드박스네트워크","주니어김영사","2022","9788934943549","","7","6","813.8","1","2","2023-03-10",
"190","마지막 이야기 전달자","도나 바르바 이게라 글;김선희 옮김","위즈덤하우스","2022","9791168124295","","7","","843","1","2","2023-03-10",
"191","마스크 요정과 꼬마꽃벌","정범종 글;김재희 그림","문학동네","2022","9788954690188","","7","","813.8","1","2","2023-03-10",
"192","랑랑 형제 떡집","김리리 지음;김이랑 그림","비룡소","2022","9788949162485","","7","","813.8","1","2","2023-03-10",
"193","마법 숲 탐정","선자은 글;이경희 그림","슈크림북","2023","9791190409292","","7","6","813.8","1","1","2023-03-10",
"194","마법 숲 탐정","선자은 글;이경희 그림","슈크림북","2022","9791190409209","9791190409025","7","5","813.8","1","1","2023-03-10",
"195","마법 숲 탐정","선자은 글;이경희 그림","슈크림북","2021","9791190409155","9791190409025","7","4","813.8","1","1","2023-03-10",
"196","레오의 폼 나는 초등 생활","이수용 글;정경아 그림","잇츠북어린이","2022","9791192182087","","7","","813.8","1","2","2023-03-10",
"197","레벨 업 브라더","엄상미 글;국민지 그림","잇츠북어린이","2022","9791192182407","","7","","813.8","1","1","2023-03-10",
